iter	Passed	Remaining
0	45	17982
1	83	16544
2	136	18027
3	186	18477
4	236	18673
5	281	18475
6	328	18417
7	374	18328
8	419	18224
9	466	18190
10	510	18066
11	557	18019
12	626	18651
13	683	18853
14	737	18931
15	787	18906
16	846	19076
17	894	18986
18	938	18821
19	984	18703
20	1029	18578
21	1078	18534
22	1132	18562
23	1180	18500
24	1230	18458
25	1278	18386
26	1325	18308
27	1378	18318
28	1435	18364
29	1485	18324
30	1533	18248
31	1577	18137
32	1620	18021
33	1671	17997
34	1721	17953
35	1770	17901
36	1823	17889
37	1888	17992
38	1946	18019
39	1998	17984
40	2050	17953
41	2102	17919
42	2154	17887
43	2204	17839
44	2261	17836
45	2310	17784
46	2371	17813
47	2426	17794
48	2484	17794
49	2534	17739
50	2582	17670
51	2632	17614
52	2677	17529
53	2723	17450
54	2769	17369
55	2817	17304
56	2866	17247
57	2912	17172
58	2964	17133
59	3014	17081
60	3060	17010
61	3105	16927
62	3154	16875
63	3201	16808
64	3248	16741
65	3295	16679
66	3340	16603
67	3387	16538
68	3431	16460
69	3474	16381
70	3522	16321
71	3572	16276
72	3619	16212
73	3666	16151
74	3712	16085
75	3757	16020
76	3802	15952
77	3860	15937
78	3910	15890
79	3961	15846
80	4010	15793
81	4055	15727
82	4103	15672
83	4153	15626
84	4201	15569
85	4253	15530
86	4299	15469
87	4344	15404
88	4393	15352
89	4438	15286
90	4486	15232
91	4531	15170
92	4575	15105
93	4623	15051
94	4672	15002
95	4729	14976
96	4784	14946
97	4839	14914
98	4888	14862
99	4939	14817
100	4988	14768
101	5043	14735
102	5093	14688
103	5148	14654
104	5200	14609
105	5253	14570
106	5305	14527
107	5359	14489
108	5407	14435
109	5458	14389
110	5510	14346
111	5563	14306
112	5613	14257
113	5663	14208
114	5712	14157
115	5765	14114
116	5817	14071
117	5872	14035
118	5925	13991
119	5979	13952
120	6036	13918
121	6092	13882
122	6139	13827
123	6197	13794
124	6247	13745
125	6297	13694
126	6343	13636
127	6392	13584
128	6448	13545
129	6495	13490
130	6544	13438
